date,count,bucket,word,wordsmallcaps,average,industry,atv,
06/01/07,50.26,Bakers & dairies,Bakers & dairies,bakers & dairies,below,offline,lowestt,
07/01/07,53.82,Bakers & dairies,Bakers & dairies,bakers & dairies,below,offline,lowestt,
08/01/07,48.78,Bakers & dairies,Bakers & dairies,bakers & dairies,below,offline,lowestt,
09/01/07,49.83,Bakers & dairies,Bakers & dairies,bakers & dairies,below,offline,lowestt,
10/01/07,56.07,Bakers & dairies,Bakers & dairies,bakers & dairies,below,offline,lowestt,
11/01/07,60.61,Bakers & dairies,Bakers & dairies,bakers & dairies,below,offline,lowestt,
12/01/07,84.71,Bakers & dairies,Bakers & dairies,bakers & dairies,below,offline,lowestt,
01/01/08,48.20,Bakers & dairies,Bakers & dairies,bakers & dairies,below,offline,lowestt,
02/01/08,51.48,Bakers & dairies,Bakers & dairies,bakers & dairies,below,offline,lowestt,
03/01/08,58.84,Bakers & dairies,Bakers & dairies,bakers & dairies,below,offline,lowestt,
04/01/08,57.85,Bakers & dairies,Bakers & dairies,bakers & dairies,below,offline,lowestt,
05/01/08,62.68,Bakers & dairies,Bakers & dairies,bakers & dairies,below,offline,lowestt,
06/01/08,66.76,Bakers & dairies,Bakers & dairies,bakers & dairies,below,offline,lowestt,
07/01/08,67.07,Bakers & dairies,Bakers & dairies,bakers & dairies,below,offline,lowestt,
08/01/08,60.46,Bakers & dairies,Bakers & dairies,bakers & dairies,below,offline,lowestt,
09/01/08,64.85,Bakers & dairies,Bakers & dairies,bakers & dairies,below,offline,lowestt,
10/01/08,70.80,Bakers & dairies,Bakers & dairies,bakers & dairies,below,offline,lowestt,
11/01/08,67.07,Bakers & dairies,Bakers & dairies,bakers & dairies,below,offline,lowestt,
12/01/08,103.60,Bakers & dairies,Bakers & dairies,bakers & dairies,above,offline,lowestt,
01/01/09,64.80,Bakers & dairies,Bakers & dairies,bakers & dairies,below,offline,lowestt,
02/01/09,64.07,Bakers & dairies,Bakers & dairies,bakers & dairies,below,offline,lowestt,
03/01/09,78.09,Bakers & dairies,Bakers & dairies,bakers & dairies,below,offline,lowestt,
04/01/09,73.84,Bakers & dairies,Bakers & dairies,bakers & dairies,below,offline,lowestt,
05/01/09,75.85,Bakers & dairies,Bakers & dairies,bakers & dairies,below,offline,lowestt,
06/01/09,85.61,Bakers & dairies,Bakers & dairies,bakers & dairies,below,offline,lowestt,
07/01/09,85.30,Bakers & dairies,Bakers & dairies,bakers & dairies,below,offline,lowestt,
08/01/09,72.60,Bakers & dairies,Bakers & dairies,bakers & dairies,below,offline,lowestt,
09/01/09,83.40,Bakers & dairies,Bakers & dairies,bakers & dairies,below,offline,lowestt,
10/01/09,91.14,Bakers & dairies,Bakers & dairies,bakers & dairies,below,offline,lowestt,
11/01/09,96.63,Bakers & dairies,Bakers & dairies,bakers & dairies,below,offline,lowestt,
12/01/09,125.18,Bakers & dairies,Bakers & dairies,bakers & dairies,above,offline,lowestt,
01/01/10,72.07,Bakers & dairies,Bakers & dairies,bakers & dairies,below,offline,lowestt,
02/01/10,76.81,Bakers & dairies,Bakers & dairies,bakers & dairies,below,offline,lowestt,
03/01/10,93.08,Bakers & dairies,Bakers & dairies,bakers & dairies,below,offline,lowestt,
04/01/10,84.06,Bakers & dairies,Bakers & dairies,bakers & dairies,below,offline,lowestt,
05/01/10,85.98,Bakers & dairies,Bakers & dairies,bakers & dairies,below,offline,lowestt,
06/01/10,105.94,Bakers & dairies,Bakers & dairies,bakers & dairies,above,offline,lowestt,
07/01/10,98.54,Bakers & dairies,Bakers & dairies,bakers & dairies,below,offline,lowestt,
08/01/10,84.17,Bakers & dairies,Bakers & dairies,bakers & dairies,below,offline,lowestt,
09/01/10,89.21,Bakers & dairies,Bakers & dairies,bakers & dairies,below,offline,lowestt,
10/01/10,94.37,Bakers & dairies,Bakers & dairies,bakers & dairies,below,offline,lowestt,
11/01/10,107.34,Bakers & dairies,Bakers & dairies,bakers & dairies,above,offline,lowestt,
12/01/10,125.34,Bakers & dairies,Bakers & dairies,bakers & dairies,above,offline,lowestt,
01/01/11,96.21,Bakers & dairies,Bakers & dairies,bakers & dairies,below,offline,lowestt,
02/01/11,97.61,Bakers & dairies,Bakers & dairies,bakers & dairies,below,offline,lowestt,
03/01/11,112.82,Bakers & dairies,Bakers & dairies,bakers & dairies,above,offline,lowestt,
04/01/11,114.15,Bakers & dairies,Bakers & dairies,bakers & dairies,above,offline,lowestt,
05/01/11,126.48,Bakers & dairies,Bakers & dairies,bakers & dairies,above,offline,lowestt,
06/01/11,157.75,Bakers & dairies,Bakers & dairies,bakers & dairies,above,offline,lowestt,
07/01/11,136.57,Bakers & dairies,Bakers & dairies,bakers & dairies,above,offline,lowestt,
08/01/11,127.93,Bakers & dairies,Bakers & dairies,bakers & dairies,above,offline,lowestt,
09/01/11,130.32,Bakers & dairies,Bakers & dairies,bakers & dairies,above,offline,lowestt,
10/01/11,141.13,Bakers & dairies,Bakers & dairies,bakers & dairies,above,offline,lowestt,
11/01/11,151.96,Bakers & dairies,Bakers & dairies,bakers & dairies,above,offline,lowestt,
12/01/11,179.85,Bakers & dairies,Bakers & dairies,bakers & dairies,above,offline,lowestt,
01/01/12,127.30,Bakers & dairies,Bakers & dairies,bakers & dairies,above,offline,lowestt,
02/01/12,146.10,Bakers & dairies,Bakers & dairies,bakers & dairies,above,offline,lowestt,
03/01/12,221.43,Bakers & dairies,Bakers & dairies,bakers & dairies,above,offline,lowestt,
04/01/12,146.70,Bakers & dairies,Bakers & dairies,bakers & dairies,above,offline,lowestt,
05/01/12,169.19,Bakers & dairies,Bakers & dairies,bakers & dairies,above,offline,lowestt,
06/01/12,167.18,Bakers & dairies,Bakers & dairies,bakers & dairies,above,offline,lowestt,
07/01/12,171.52,Bakers & dairies,Bakers & dairies,bakers & dairies,above,offline,lowestt,
08/01/12,158.88,Bakers & dairies,Bakers & dairies,bakers & dairies,above,offline,lowestt,
09/01/12,154.33,Bakers & dairies,Bakers & dairies,bakers & dairies,above,offline,lowestt,
10/01/12,178.92,Bakers & dairies,Bakers & dairies,bakers & dairies,above,offline,lowestt,
11/01/12,181.99,Bakers & dairies,Bakers & dairies,bakers & dairies,above,offline,lowestt,
12/01/12,209.78,Bakers & dairies,Bakers & dairies,bakers & dairies,above,offline,lowestt,
01/01/13,149.31,Bakers & dairies,Bakers & dairies,bakers & dairies,above,offline,lowestt,
02/01/13,177.79,Bakers & dairies,Bakers & dairies,bakers & dairies,above,offline,lowestt,
03/01/13,176.28,Bakers & dairies,Bakers & dairies,bakers & dairies,above,offline,lowestt,
04/01/13,174.95,Bakers & dairies,Bakers & dairies,bakers & dairies,above,offline,lowestt,
05/01/13,191.42,Bakers & dairies,Bakers & dairies,bakers & dairies,above,offline,lowestt,
06/01/13,184.32,Bakers & dairies,Bakers & dairies,bakers & dairies,above,offline,lowestt,
07/01/13,196.71,Bakers & dairies,Bakers & dairies,bakers & dairies,above,offline,lowestt,
08/01/13,187.72,Bakers & dairies,Bakers & dairies,bakers & dairies,above,offline,lowestt,
09/01/13,192.16,Bakers & dairies,Bakers & dairies,bakers & dairies,above,offline,lowestt,
10/01/13,203.92,Bakers & dairies,Bakers & dairies,bakers & dairies,above,offline,lowestt,
11/01/13,206.76,Bakers & dairies,Bakers & dairies,bakers & dairies,above,offline,lowestt,
12/01/13,232.66,Bakers & dairies,Bakers & dairies,bakers & dairies,above,offline,lowestt,
01/01/14,171.75,Bakers & dairies,Bakers & dairies,bakers & dairies,above,offline,lowestt,
02/01/14,178.20,Bakers & dairies,Bakers & dairies,bakers & dairies,above,offline,lowestt,
03/01/14,214.74,Bakers & dairies,Bakers & dairies,bakers & dairies,above,offline,lowestt,
04/01/14,202.65,Bakers & dairies,Bakers & dairies,bakers & dairies,above,offline,lowestt,
01/01/05,351.39,Sweet stores,Sweet stores,sweet stores,above,offline,lowestt,
02/01/05,340.68,Sweet stores,Sweet stores,sweet stores,above,offline,lowestt,
03/01/05,442.18,Sweet stores,Sweet stores,sweet stores,above,offline,lowestt,
04/01/05,257.01,Sweet stores,Sweet stores,sweet stores,above,offline,lowestt,
05/01/05,151.08,Sweet stores,Sweet stores,sweet stores,above,offline,lowestt,
06/01/05,233.76,Sweet stores,Sweet stores,sweet stores,above,offline,lowestt,
07/01/05,22.88,Sweet stores,Sweet stores,sweet stores,below,offline,lowestt,
08/01/05,27.40,Sweet stores,Sweet stores,sweet stores,below,offline,lowestt,
09/01/05,24.59,Sweet stores,Sweet stores,sweet stores,below,offline,lowestt,
10/01/05,27.34,Sweet stores,Sweet stores,sweet stores,below,offline,lowestt,
11/01/05,51.76,Sweet stores,Sweet stores,sweet stores,below,offline,lowestt,
12/01/05,136.96,Sweet stores,Sweet stores,sweet stores,above,offline,lowestt,
01/01/06,21.97,Sweet stores,Sweet stores,sweet stores,below,offline,lowestt,
02/01/06,25.48,Sweet stores,Sweet stores,sweet stores,below,offline,lowestt,
03/01/06,34.01,Sweet stores,Sweet stores,sweet stores,below,offline,lowestt,
04/01/06,49.59,Sweet stores,Sweet stores,sweet stores,below,offline,lowestt,
05/01/06,26.38,Sweet stores,Sweet stores,sweet stores,below,offline,lowestt,
06/01/06,27.37,Sweet stores,Sweet stores,sweet stores,below,offline,lowestt,
07/01/06,27.11,Sweet stores,Sweet stores,sweet stores,below,offline,lowestt,
08/01/06,29.04,Sweet stores,Sweet stores,sweet stores,below,offline,lowestt,
09/01/06,28.02,Sweet stores,Sweet stores,sweet stores,below,offline,lowestt,
10/01/06,35.24,Sweet stores,Sweet stores,sweet stores,below,offline,lowestt,
11/01/06,67.41,Sweet stores,Sweet stores,sweet stores,below,offline,lowestt,
12/01/06,170.13,Sweet stores,Sweet stores,sweet stores,above,offline,lowestt,
01/01/07,26.25,Sweet stores,Sweet stores,sweet stores,below,offline,lowestt,
02/01/07,33.17,Sweet stores,Sweet stores,sweet stores,below,offline,lowestt,
03/01/07,58.90,Sweet stores,Sweet stores,sweet stores,below,offline,lowestt,
04/01/07,65.34,Sweet stores,Sweet stores,sweet stores,below,offline,lowestt,
05/01/07,39.52,Sweet stores,Sweet stores,sweet stores,below,offline,lowestt,
06/01/07,43.40,Sweet stores,Sweet stores,sweet stores,below,offline,lowestt,
07/01/07,47.03,Sweet stores,Sweet stores,sweet stores,below,offline,lowestt,
08/01/07,43.51,Sweet stores,Sweet stores,sweet stores,below,offline,lowestt,
09/01/07,39.20,Sweet stores,Sweet stores,sweet stores,below,offline,lowestt,
10/01/07,52.97,Sweet stores,Sweet stores,sweet stores,below,offline,lowestt,
11/01/07,100.54,Sweet stores,Sweet stores,sweet stores,above,offline,lowestt,
12/01/07,224.22,Sweet stores,Sweet stores,sweet stores,above,offline,lowestt,
01/01/08,35.71,Sweet stores,Sweet stores,sweet stores,below,offline,lowestt,
02/01/08,55.72,Sweet stores,Sweet stores,sweet stores,below,offline,lowestt,
03/01/08,90.88,Sweet stores,Sweet stores,sweet stores,below,offline,lowestt,
04/01/08,38.51,Sweet stores,Sweet stores,sweet stores,below,offline,lowestt,
05/01/08,42.89,Sweet stores,Sweet stores,sweet stores,below,offline,lowestt,
06/01/08,52.85,Sweet stores,Sweet stores,sweet stores,below,offline,lowestt,
07/01/08,50.29,Sweet stores,Sweet stores,sweet stores,below,offline,lowestt,
08/01/08,44.01,Sweet stores,Sweet stores,sweet stores,below,offline,lowestt,
09/01/08,48.65,Sweet stores,Sweet stores,sweet stores,below,offline,lowestt,
10/01/08,60.94,Sweet stores,Sweet stores,sweet stores,below,offline,lowestt,
11/01/08,101.22,Sweet stores,Sweet stores,sweet stores,above,offline,lowestt,
12/01/08,229.55,Sweet stores,Sweet stores,sweet stores,above,offline,lowestt,
01/01/09,35.39,Sweet stores,Sweet stores,sweet stores,below,offline,lowestt,
02/01/09,50.83,Sweet stores,Sweet stores,sweet stores,below,offline,lowestt,
03/01/09,73.75,Sweet stores,Sweet stores,sweet stores,below,offline,lowestt,
04/01/09,79.96,Sweet stores,Sweet stores,sweet stores,below,offline,lowestt,
05/01/09,42.39,Sweet stores,Sweet stores,sweet stores,below,offline,lowestt,
06/01/09,54.13,Sweet stores,Sweet stores,sweet stores,below,offline,lowestt,
07/01/09,52.63,Sweet stores,Sweet stores,sweet stores,below,offline,lowestt,
08/01/09,47.00,Sweet stores,Sweet stores,sweet stores,below,offline,lowestt,
09/01/09,55.71,Sweet stores,Sweet stores,sweet stores,below,offline,lowestt,
10/01/09,63.51,Sweet stores,Sweet stores,sweet stores,below,offline,lowestt,
11/01/09,111.47,Sweet stores,Sweet stores,sweet stores,above,offline,lowestt,
12/01/09,228.26,Sweet stores,Sweet stores,sweet stores,above,offline,lowestt,
01/01/10,42.19,Sweet stores,Sweet stores,sweet stores,below,offline,lowestt,
02/01/10,55.90,Sweet stores,Sweet stores,sweet stores,below,offline,lowestt,
03/01/10,98.43,Sweet stores,Sweet stores,sweet stores,below,offline,lowestt,
04/01/10,62.55,Sweet stores,Sweet stores,sweet stores,below,offline,lowestt,
05/01/10,43.83,Sweet stores,Sweet stores,sweet stores,below,offline,lowestt,
06/01/10,59.87,Sweet stores,Sweet stores,sweet stores,below,offline,lowestt,
07/01/10,52.47,Sweet stores,Sweet stores,sweet stores,below,offline,lowestt,
08/01/10,53.87,Sweet stores,Sweet stores,sweet stores,below,offline,lowestt,
09/01/10,56.07,Sweet stores,Sweet stores,sweet stores,below,offline,lowestt,
10/01/10,65.29,Sweet stores,Sweet stores,sweet stores,below,offline,lowestt,
11/01/10,129.49,Sweet stores,Sweet stores,sweet stores,above,offline,lowestt,
12/01/10,231.43,Sweet stores,Sweet stores,sweet stores,above,offline,lowestt,
01/01/11,55.90,Sweet stores,Sweet stores,sweet stores,below,offline,lowestt,
02/01/11,66.26,Sweet stores,Sweet stores,sweet stores,below,offline,lowestt,
03/01/11,81.09,Sweet stores,Sweet stores,sweet stores,below,offline,lowestt,
04/01/11,119.46,Sweet stores,Sweet stores,sweet stores,above,offline,lowestt,
05/01/11,88.78,Sweet stores,Sweet stores,sweet stores,below,offline,lowestt,
06/01/11,90.47,Sweet stores,Sweet stores,sweet stores,below,offline,lowestt,
07/01/11,94.80,Sweet stores,Sweet stores,sweet stores,below,offline,lowestt,
08/01/11,92.92,Sweet stores,Sweet stores,sweet stores,below,offline,lowestt,
09/01/11,91.71,Sweet stores,Sweet stores,sweet stores,below,offline,lowestt,
10/01/11,100.37,Sweet stores,Sweet stores,sweet stores,above,offline,lowestt,
11/01/11,169.84,Sweet stores,Sweet stores,sweet stores,above,offline,lowestt,
12/01/11,337.20,Sweet stores,Sweet stores,sweet stores,above,offline,lowestt,
01/01/12,74.52,Sweet stores,Sweet stores,sweet stores,below,offline,lowestt,
02/01/12,90.98,Sweet stores,Sweet stores,sweet stores,below,offline,lowestt,
03/01/12,115.31,Sweet stores,Sweet stores,sweet stores,above,offline,lowestt,
04/01/12,127.84,Sweet stores,Sweet stores,sweet stores,above,offline,lowestt,
05/01/12,93.38,Sweet stores,Sweet stores,sweet stores,below,offline,lowestt,
06/01/12,98.21,Sweet stores,Sweet stores,sweet stores,below,offline,lowestt,
07/01/12,102.52,Sweet stores,Sweet stores,sweet stores,above,offline,lowestt,
08/01/12,103.80,Sweet stores,Sweet stores,sweet stores,above,offline,lowestt,
09/01/12,95.09,Sweet stores,Sweet stores,sweet stores,below,offline,lowestt,
10/01/12,123.58,Sweet stores,Sweet stores,sweet stores,above,offline,lowestt,
11/01/12,186.30,Sweet stores,Sweet stores,sweet stores,above,offline,lowestt,
12/01/12,352.95,Sweet stores,Sweet stores,sweet stores,above,offline,lowestt,
01/01/13,74.35,Sweet stores,Sweet stores,sweet stores,below,offline,lowestt,
02/01/13,94.12,Sweet stores,Sweet stores,sweet stores,below,offline,lowestt,
03/01/13,161.14,Sweet stores,Sweet stores,sweet stores,above,offline,lowestt,
04/01/13,116.43,Sweet stores,Sweet stores,sweet stores,above,offline,lowestt,
05/01/13,104.95,Sweet stores,Sweet stores,sweet stores,above,offline,lowestt,
06/01/13,107.06,Sweet stores,Sweet stores,sweet stores,above,offline,lowestt,
07/01/13,112.53,Sweet stores,Sweet stores,sweet stores,above,offline,lowestt,
08/01/13,114.88,Sweet stores,Sweet stores,sweet stores,above,offline,lowestt,
09/01/13,109.10,Sweet stores,Sweet stores,sweet stores,above,offline,lowestt,
10/01/13,131.78,Sweet stores,Sweet stores,sweet stores,above,offline,lowestt,
11/01/13,189.32,Sweet stores,Sweet stores,sweet stores,above,offline,lowestt,
12/01/13,348.13,Sweet stores,Sweet stores,sweet stores,above,offline,lowestt,
01/01/14,91.80,Sweet stores,Sweet stores,sweet stores,below,offline,lowestt,
02/01/14,107.26,Sweet stores,Sweet stores,sweet stores,above,offline,lowestt,
03/01/14,132.01,Sweet stores,Sweet stores,sweet stores,above,offline,lowestt,
04/01/14,171.39,Sweet stores,Sweet stores,sweet stores,above,offline,lowestt,
01/01/05,64.61,Miscellaneous foodstores,Miscellaneous foodstores,miscellaneous foodstores,below,offline,,
